uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1699451169","08 Nov 2023, 13:46","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","New Shapes (feat. Christine and the Queens and Caroline Polachek)",""
"1699450893","08 Nov 2023, 13:41","Mim Jensen","","Emotional Affair","","Germaphobe",""
"1699450647","08 Nov 2023, 13:37","Michael Cera Palin","0acc305d-e58b-4e76-bc17-630345c14b38","I Don't Know How to Explain It","","If It Makes You Happy","7f83640a-0baf-4ca3-a814-c70f1c803b98"
"1699450398","08 Nov 2023, 13:33","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Secure Yourself","00b8d0bb-cd1f-4086-8738-6dc0d5f687fe"
"1699450240","08 Nov 2023, 13:30","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Charli","6fdb3260-eac7-4ad9-8c72-92f45d9ca836","Next Level Charli","28c7cbec-2f0a-452a-930d-cff6c065e99b"
"1699450040","08 Nov 2023, 13:27","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","New Shapes (feat. Christine and the Queens and Caroline Polachek)",""
"1699425081","08 Nov 2023, 06:31","American Football","4ebb5ad3-9018-407d-8c24-c03011ab9ac6","American Football (LP2)","","Desire Gets in the Way","1efae236-3460-4970-baad-3c71e2cd0fe7"
"1699424982","08 Nov 2023, 06:29","Palmistry","","Tinkerbell","8086eba4-a35d-48de-b7ad-34ffd8794a5c","Brexia",""
"1699424798","08 Nov 2023, 06:26","Chappell Roan","56a55378-f155-48de-80a5-d80104221267","HOT TO GO!","","HOT TO GO!","e619cd9d-ee35-4e37-8ee1-51b992ab95d7"
"1699424653","08 Nov 2023, 06:24","Free Cake For Every Creature","16f0ea6f-908f-4dcf-b0e0-473ce60b584e","Talking Quietly Of Anything With You","0d5e20f3-c176-466b-a58b-ffd3cafebdbe","For You","a284e196-7a1c-48e7-9ceb-9b0c4968245a"
"1699424528","08 Nov 2023, 06:22","Moontype","b9e16954-0de4-46a8-a3fc-a33603a37df7","Bodies of Water","1f73a6a3-99fc-4d73-b529-c9f7afdcd81c","About You","4f037613-6804-4e0e-a141-28fe2808f25c"
"1699424297","08 Nov 2023, 06:18","The Mountain Goats","9639cd52-c351-4a17-9797-58880e95a7ef","The Sunset Tree","2d66c5e3-c1f0-440c-96b7-fd4578ecb8c7","This Year","39d4573a-b566-3d20-9568-0cfb56c2f67c"
"1699424137","08 Nov 2023, 06:15","Phoebe Bridgers","96855c21-b832-4366-ba12-0d2330c36a86","Kyoto (Glitch Gum Remix)","0713222a-def3-47f8-9ff9-deb217d9d336","Kyoto (Glitch Gum Remix)","fcb97573-c1b0-4a4e-9665-4eda1c127307"
"1699423942","08 Nov 2023, 06:12","trapl archives","","imgonnagetmyrevenge","","imgonnagetmyrevenge",""
"1699423753","08 Nov 2023, 06:09","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","Constant Repeat","35402eb9-404c-404c-baad-545f9be32aeb"
"1699423431","08 Nov 2023, 06:03","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Prince of Darkness","1038a7ac-9bee-332b-a2e8-55c9fc2379cc"
"1699423218","08 Nov 2023, 06:00","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Secure Yourself","00b8d0bb-cd1f-4086-8738-6dc0d5f687fe"
"1699423060","08 Nov 2023, 05:57","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Charli","6fdb3260-eac7-4ad9-8c72-92f45d9ca836","Next Level Charli","28c7cbec-2f0a-452a-930d-cff6c065e99b"
"1699422860","08 Nov 2023, 05:54","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","New Shapes (feat. Christine and the Queens and Caroline Polachek)",""
"1699422588","08 Nov 2023, 05:49","wished bone","f3c6d990-ba6f-40bd-8d9c-3ebd0b736c0d","cellar belly","d740ab92-d124-4662-9c00-60795fdcac6c","pollinate me","2e29b6ec-3f1e-4c62-9d1d-038980e6dd10"
"1699422328","08 Nov 2023, 05:45","Mim Jensen","","Emotional Affair","","Germaphobe",""
"1699422080","08 Nov 2023, 05:41","Michael Cera Palin","0acc305d-e58b-4e76-bc17-630345c14b38","I Don't Know How to Explain It","","If It Makes You Happy","7f83640a-0baf-4ca3-a814-c70f1c803b98"
"1699419306","08 Nov 2023, 04:55","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Secure Yourself","00b8d0bb-cd1f-4086-8738-6dc0d5f687fe"
"1699419144","08 Nov 2023, 04:52","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Charli","6fdb3260-eac7-4ad9-8c72-92f45d9ca836","Next Level Charli","28c7cbec-2f0a-452a-930d-cff6c065e99b"
"1699418946","08 Nov 2023, 04:49","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","New Shapes (feat. Christine and the Queens and Caroline Polachek)",""
"1699418586","08 Nov 2023, 04:43","wished bone","f3c6d990-ba6f-40bd-8d9c-3ebd0b736c0d","cellar belly","d740ab92-d124-4662-9c00-60795fdcac6c","pollinate me","2e29b6ec-3f1e-4c62-9d1d-038980e6dd10"
"1699418327","08 Nov 2023, 04:38","Mim Jensen","","Emotional Affair","","Germaphobe",""
"1699418069","08 Nov 2023, 04:34","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","Constant Repeat","35402eb9-404c-404c-baad-545f9be32aeb"
"1699417929","08 Nov 2023, 04:32","rew","","Rew","a06db7e4-089f-480b-a991-396958e810c7","yung and writhing","25fe13e0-d1f9-425e-8bbe-a5986308846c"
"1699417682","08 Nov 2023, 04:28","Michael Cera Palin","0acc305d-e58b-4e76-bc17-630345c14b38","I Don't Know How to Explain It","","If It Makes You Happy","7f83640a-0baf-4ca3-a814-c70f1c803b98"
"1699417463","08 Nov 2023, 04:24","Gentle","","Luck Presser","","Sincere Apologies",""
"1699417259","08 Nov 2023, 04:20","Wilt","34f7017a-4a62-43b9-a5e8-6f651ebb910f","moved along","634b7c53-b31b-4db9-ab5d-7e6a99160eba","moved along","1d83501a-1a4f-455b-8439-4bd110a902fa"
"1699416956","08 Nov 2023, 04:15","Katy Kirby","dab7e7de-ae6b-4f1c-a4a0-49293df7ce22","Cool Dry Place","22c298cc-52bc-4a79-a307-c971d1fe4f04","Cool Dry Place","4866002b-b951-40eb-a365-9f315847a2a2"
"1699416530","08 Nov 2023, 04:08","Katy Kirby","dab7e7de-ae6b-4f1c-a4a0-49293df7ce22","Cool Dry Place","22c298cc-52bc-4a79-a307-c971d1fe4f04","Cool Dry Place","4866002b-b951-40eb-a365-9f315847a2a2"
"1699416316","08 Nov 2023, 04:05","Mim Jensen","","Emotional Affair","","Germaphobe",""
"1699416188","08 Nov 2023, 04:03","The Simps","39a6f644-3cf4-4a98-915b-f8b424ae5dc8","Siblings","4f5d0224-bbd6-4bab-8311-5e0b968aa753","On Fye","bf61948c-ed56-41f0-bd8a-46f5ced4ab59"
"1699415911","08 Nov 2023, 03:58","Sword II","","Between II Gardens","793b9207-e674-4f53-8f19-aa337fea424e","Garden","3ca23248-5b79-4a0f-a407-a8a1bccc3969"
