uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1701699620","04 Dec 2023, 14:20","Beach Fossils","3df3818e-7984-4c62-bee3-81f95f8c6651","Somersault","3072a2b7-ac26-476f-a457-3bf7f22c9b3d","Down the Line","428c560f-0e81-4168-8123-dba13daa59cc"
"1701699500","04 Dec 2023, 14:18","The Wxxds","","rocket!","","rocket!",""
"1701699257","04 Dec 2023, 14:14","Simon & Garfunkel","5d02f264-e225-41ff-83f7-d9b1f0b1874a","Bookends","0455cc23-9081-3ef1-b047-d2cd1cc797dd","America",""
"1701699107","04 Dec 2023, 14:11","Simon & Garfunkel","5d02f264-e225-41ff-83f7-d9b1f0b1874a","Parsley, Sage, Rosemary And Thyme","10454579-5f44-4aee-842b-c943c88aaff0","Homeward Bound","19674b70-4bf0-45e0-82e8-caefd8b0320b"
"1701698872","04 Dec 2023, 14:07","QT","60f8683c-29b3-41db-97a9-af77487913d9","Hey QT","75995c32-51fd-4f1a-8a76-4ff9ad59afc0","Hey QT","11171366-fc0f-403f-84b3-b1e28a436608"
"1701698556","04 Dec 2023, 14:02","Blue Deputy","","New Jersey / I Hate Steven Singer","","New Jersey",""
"1701698349","04 Dec 2023, 13:59","Slaughter Beach, Dog","9969f247-ce03-4b25-927f-c00c51ecedbe","Welcome","02f230db-954e-4786-8e68-9aeaec3c0e08","Monsters","35c708a1-9a18-40a3-90e9-ae3a7fcb0188"
"1701698183","04 Dec 2023, 13:56","Lana Del Rey","b7539c32-53e7-4908-bda3-81449c367da6","Take Me Home, Country Roads","84faff44-4c23-4ac5-bafb-47e2929ddb60","Take Me Home, Country Roads","89341ce3-175c-48f8-b608-e814b13dae3c"
"1701698007","04 Dec 2023, 13:53","Soccer Mommy","84803b1d-dcb3-490d-9af5-debbba64a011","rom com 2004","a6a6e4b8-262a-43c8-ba92-d7c5a085066d","rom com 2004","eb899a99-5157-44fc-8ab5-84b2ffe2fde8"
"1701697811","04 Dec 2023, 13:50","Soccer Mommy","84803b1d-dcb3-490d-9af5-debbba64a011","rom com 2021","9058dbdd-44bb-4da3-be16-f0776690639a","rom com 2021",""
"1701697549","04 Dec 2023, 13:45","Starship","fbf445c0-11ae-4d3e-af1a-c6e2783e447c","Knee Deep in the Hoopla","572b6b42-3494-438d-a3d9-0fbf39ebded8","Hearts Of The World (Will Understand)","286162a8-b3ce-4aed-bfc4-f324524a9553"
"1701697360","04 Dec 2023, 13:42","Soccer Mommy","84803b1d-dcb3-490d-9af5-debbba64a011","rom com 2004","a6a6e4b8-262a-43c8-ba92-d7c5a085066d","rom com 2004","eb899a99-5157-44fc-8ab5-84b2ffe2fde8"
"1701697165","04 Dec 2023, 13:39","Soccer Mommy","84803b1d-dcb3-490d-9af5-debbba64a011","rom com 2021","9058dbdd-44bb-4da3-be16-f0776690639a","rom com 2021",""
"1701696902","04 Dec 2023, 13:35","Starship","fbf445c0-11ae-4d3e-af1a-c6e2783e447c","Knee Deep in the Hoopla","572b6b42-3494-438d-a3d9-0fbf39ebded8","Hearts Of The World (Will Understand)","286162a8-b3ce-4aed-bfc4-f324524a9553"
"1701656133","04 Dec 2023, 02:15","Blue Deputy","","New Jersey / I Hate Steven Singer","","New Jersey",""
